station_complex_id,borough,routes,payment_method,latitude,longitude,ridership,transfers,region,ridership_percap,transfers_percap
N315,Queens,"['M', 'R']",omny,40.75687789916992,-73.92073822021484,1823,92,NE,0.0008002532013420373,4.038578964534692e-05
N316,Queens,"['M', 'R']",metrocard,40.75631332397461,-73.913330078125,1314,6,NE,0.0005768144303694115,2.633855846435669e-06
N316,Queens,"['M', 'R']",omny,40.75631332397461,-73.913330078125,1014,17,NE,0.000445121638047628,7.462591564901062e-06
N318,Queens,"['M', 'R']",metrocard,40.75288391113281,-73.906005859375,1188,70,NE,0.0005215034575942624,3.0728318208416134e-05
N318,Queens,"['M', 'R']",omny,40.75288391113281,-73.906005859375,685,92,NE,0.00030069854246807216,4.038578964534692e-05
N322,Queens,"['M', 'R']",metrocard,40.74966812133789,-73.89845275878906,680,2,NE,0.00029850366259604247,8.779519488118896e-07
N322,Queens,"['M', 'R']",omny,40.74966812133789,-73.89845275878906,441,7,NE,0.00019358840471302166,3.0728318208416135e-06
N325A,Queens,"['M', 'R']",metrocard,40.742454528808594,-73.88201904296875,4187,38,NE,0.0018379924048376908,1.6681087027425903e-05
N325A,Queens,"['M', 'R']",omny,40.742454528808594,-73.88201904296875,2177,24,NE,0.0009556506962817418,1.0535423385742676e-05
N327,Queens,"['M', 'R']",metrocard,40.73701477050781,-73.8772201538086,4972,412,NE,0.0021825885447463575,0.00018085810145524925
N327,Queens,"['M', 'R']",omny,40.73701477050781,-73.8772201538086,3162,584,NE,0.0013880420310715975,0.00025636196905307176
N329,Queens,"['M', 'R']",metrocard,40.73310470581055,-73.86923217773438,5496,442,NE,0.0024126119553350726,0.0001940273806874276
N329,Queens,"['M', 'R']",omny,40.73310470581055,-73.86923217773438,3488,537,NE,0.0015311481987279353,0.00023573009825599234
N330B,Queens,"['M', 'R']",metrocard,40.7298469543457,-73.86160278320312,3577,83,NE,0.0015702170604500645,3.643500587569342e-05
N330B,Queens,"['M', 'R']",omny,40.7298469543457,-73.86160278320312,2393,101,NE,0.001050469506753426,4.433657341500042e-05
N331,Queens,"['M', 'R']",metrocard,40.726524353027344,-73.85272216796875,1847,3,NE,0.00081078862472778,1.3169279232178344e-06
N331,Queens,"['M', 'R']",omny,40.726524353027344,-73.85272216796875,1344,10,NE,0.0005899837096015898,4.389759744059448e-06
N333A,Queens,"['F', 'M', 'E', 'R']",metrocard,40.7216911315918,-73.84452056884766,6735,579,NE,0.0029565031876240384,0.000254167089181042
N333A,Queens,"['F', 'M', 'E', 'R']",omny,40.7216911315918,-73.84452056884766,5114,677,NE,0.0022449231331120017,0.00029718673467282465
N334B,Queens,"['F', 'E']",metrocard,40.71833038330078,-73.83732604980469,834,6,SE,0.00036610596265455793,2.633855846435669e-06
N334B,Queens,"['F', 'E']",omny,40.71833038330078,-73.83732604980469,770,4,SE,0.0003380115002925775,1.7559038976237793e-06
N336,Queens,"['F', 'E']",metrocard,40.71443939208984,-73.83100891113281,5915,1414,SE,0.0025965428886111632,0.000620712027810006
N336,Queens,"['F', 'E']",omny,40.71443939208984,-73.83100891113281,3355,1362,SE,0.0014727643941319449,0.0005978852771408968
N337,Queens,"['F', 'E']",metrocard,40.70917892456055,-73.82057189941406,1293,25,SE,0.0005675959349068867,1.097439936014862e-05
N337,Queens,"['F', 'E']",omny,40.70917892456055,-73.82057189941406,833,15,SE,0.00036566698668015203,6.5846396160891716e-06
N338B,Queens,['F'],metrocard,40.70545959472656,-73.81070709228516,1170,24,SE,0.0005136018900549554,1.0535423385742676e-05
N338B,Queens,['F'],omny,40.70545959472656,-73.81070709228516,659,32,SE,0.0002892851671335176,1.4047231180990234e-05
N339A,Queens,['F'],metrocard,40.70756530761719,-73.80332946777344,1938,182,SE,0.000850735438398721,7.989362734188195e-05
N339A,Queens,['F'],omny,40.70756530761719,-73.80332946777344,1044,225,SE,0.00045829091727980634,9.876959424133758e-05
N340A,Queens,['F'],metrocard,40.71046829223633,-73.7936019897461,2015,104,SE,0.0008845365884279788,4.565350133821826e-05
N340A,Queens,['F'],omny,40.71046829223633,-73.7936019897461,1278,133,SE,0.0005610112952907974,5.8383804595990656e-05
N343,Queens,['F'],metrocard,40.712646484375,-73.7838134765625,4813,1075,SE,0.0021127913648158123,0.00047189917248639064
N343,Queens,['F'],omny,40.712646484375,-73.7838134765625,2053,657,SE,0.0009012176754554047,0.00028840721518470574
N401,Queens,['G'],metrocard,40.74406433105469,-73.94972229003906,684,6,NW,0.00030025956649366625,2.633855846435669e-06
N401,Queens,['G'],omny,40.74406433105469,-73.94972229003906,1365,20,NW,0.0005992022050641146,8.779519488118895e-06
N405,Brooklyn,['G'],metrocard,40.731353759765625,-73.95445251464844,2092,22,NW,0.0008075611190975079,8.492516548826566e-06
N405,Brooklyn,['G'],omny,40.731353759765625,-73.95445251464844,4636,45,NW,0.0017896048509254527,1.7371056577145248e-05
